*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,10/05/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,17/05/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,0,24/05/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,31/05/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3,07/06/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,14/06/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,21/06/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,4,28/06/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3.002,05/07/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3.002,12/07/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,19/07/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3,26/07/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2.002,02/08/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
